bike_name,bike_type,date_ordered,quantity
Hybrid Explorer,Hybrid Bike,2022-04-28,3
TrailBlazer XT,Mountain Bike,2024-01-18,3
BMX Freestyle Pro,BMX,2020-10-03,4
AirMaster 300,BMX,2020-04-06,1
AirMaster 300,BMX,2022-02-16,3
BMX Freestyle Pro,BMX,2020-04-06,2
AirMaster 300,BMX,2020-12-03,23
Mountain Climber XT,Mountain Bike,2023-06-03,7
Mountain Climber XT,Mountain Bike,2022-08-09,4
TrailBlazer XT,Mountain Bike,2023-08-17,6
BMX Freestyle Pro,BMX,2022-01-11,3
Roadmaster Pro,Road Bike,2021-05-24,2
Hybrid Explorer,Hybrid Bike,2021-05-26,4
Mountain Climber XT,Mountain Bike,2020-04-12,3
AirMaster 300,BMX,2024-01-05,3
 Speedster Pro,Road Bike,2021-06-14,6
Mountain Climber XT,Mountain Bike,2020-08-31,5
Hybrid Explorer,Hybrid Bike,2020-07-23,7
Roadmaster Pro,Road Bike,2024-03-08,3
 Speedster Pro,Road Bike,2020-03-03,3
BMX Freestyle Pro,BMX,2020-11-19,20
BMX Freestyle Pro,BMX,2023-06-15,3
Hybrid Explorer,Hybrid Bike,2020-11-20,16
 Speedster Pro,Road Bike,2022-11-07,4
AirMaster 300,BMX,2023-08-09,8
Roadmaster Pro,Road Bike,2023-10-25,4
AirMaster 300,BMX,2020-12-10,3
UrbanCommuter 500,Hybrid Bike,2021-11-27,20
UrbanCommuter 500,Hybrid Bike,2020-10-15,1
TrailBlazer XT,Mountain Bike,2023-05-08,2
Mountain Climber XT,Mountain Bike,2020-10-25,2
BMX Freestyle Pro,BMX,2020-06-07,11
Mountain Climber XT,Mountain Bike,2023-06-02,9
Roadmaster Pro,Road Bike,2023-04-08,4
AirMaster 300,BMX,2020-02-04,4
Hybrid Explorer,Hybrid Bike,2022-09-09,2
BMX Freestyle Pro,BMX,2021-08-31,3
UrbanCommuter 500,Hybrid Bike,2024-02-27,3
AirMaster 300,BMX,2021-12-21,12
Roadmaster Pro,Road Bike,2023-04-04,3
Roadmaster Pro,Road Bike,2022-03-19,3
TrailBlazer XT,Mountain Bike,2020-11-03,2
BMX Freestyle Pro,BMX,2021-05-26,3
Hybrid Explorer,Hybrid Bike,2024-08-14,2
Hybrid Explorer,Hybrid Bike,2023-08-24,4
BMX Freestyle Pro,BMX,2023-01-26,3
 Speedster Pro,Road Bike,2024-09-18,4
BMX Freestyle Pro,BMX,2021-09-11,4
 Speedster Pro,Road Bike,2021-08-23,8
BMX Freestyle Pro,BMX,2020-01-02,1
TrailBlazer XT,Mountain Bike,2023-01-29,1
 Speedster Pro,Road Bike,2023-09-19,3
TrailBlazer XT,Mountain Bike,2022-09-04,2
TrailBlazer XT,Mountain Bike,2021-09-29,2
Roadmaster Pro,Road Bike,2022-04-08,3
Hybrid Explorer,Hybrid Bike,2020-08-30,8
Roadmaster Pro,Road Bike,2022-02-26,1
Mountain Climber XT,Mountain Bike,2024-06-17,2
BMX Freestyle Pro,BMX,2024-01-09,1
Hybrid Explorer,Hybrid Bike,2021-11-06,3
Hybrid Explorer,Hybrid Bike,2021-11-26,22
Mountain Climber XT,Mountain Bike,2021-03-19,3
 Speedster Pro,Road Bike,2021-07-09,5
UrbanCommuter 500,Hybrid Bike,2022-05-26,2
AirMaster 300,BMX,2020-03-06,4
Mountain Climber XT,Mountain Bike,2024-01-31,3
 Speedster Pro,Road Bike,2020-12-31,12
 Speedster Pro,Road Bike,2021-12-25,8
Roadmaster Pro,Road Bike,2022-01-27,3
TrailBlazer XT,Mountain Bike,2021-11-15,2
TrailBlazer XT,Mountain Bike,2020-07-10,8
 Speedster Pro,Road Bike,2023-09-15,2
Roadmaster Pro,Road Bike,2023-12-19,8
Hybrid Explorer,Hybrid Bike,2022-12-30,12
Roadmaster Pro,Road Bike,2022-03-17,3
TrailBlazer XT,Mountain Bike,2021-11-10,2
 Speedster Pro,Road Bike,2021-03-04,3
 Speedster Pro,Road Bike,2024-02-02,2
 Speedster Pro,Road Bike,2020-07-11,7
Mountain Climber XT,Mountain Bike,2020-10-29,3
AirMaster 300,BMX,2024-03-04,2
Mountain Climber XT,Mountain Bike,2021-12-03,17
TrailBlazer XT,Mountain Bike,2020-03-06,5
UrbanCommuter 500,Hybrid Bike,2022-05-05,2
Hybrid Explorer,Hybrid Bike,2022-10-30,2
BMX Freestyle Pro,BMX,2020-08-20,7
Mountain Climber XT,Mountain Bike,2021-03-07,3
TrailBlazer XT,Mountain Bike,2020-12-30,13
TrailBlazer XT,Mountain Bike,2023-11-11,2
Mountain Climber XT,Mountain Bike,2023-08-12,5
TrailBlazer XT,Mountain Bike,2020-05-10,3
Roadmaster Pro,Road Bike,2021-11-24,20
UrbanCommuter 500,Hybrid Bike,2024-04-18,2
BMX Freestyle Pro,BMX,2020-06-08,9
Hybrid Explorer,Hybrid Bike,2020-06-15,6
Mountain Climber XT,Mountain Bike,2024-06-22,2
Roadmaster Pro,Road Bike,2021-12-27,14
AirMaster 300,BMX,2020-03-26,1
TrailBlazer XT,Mountain Bike,2024-03-02,3
Hybrid Explorer,Hybrid Bike,2023-05-31,3
UrbanCommuter 500,Hybrid Bike,2022-02-21,1
 Speedster Pro,Road Bike,2020-11-21,16
Roadmaster Pro,Road Bike,2020-06-07,8
Mountain Climber XT,Mountain Bike,2021-02-11,1
Roadmaster Pro,Road Bike,2022-02-10,1
BMX Freestyle Pro,BMX,2023-12-13,3
BMX Freestyle Pro,BMX,2020-09-18,1
BMX Freestyle Pro,BMX,2022-05-10,3
TrailBlazer XT,Mountain Bike,2022-01-16,4
UrbanCommuter 500,Hybrid Bike,2021-04-14,3
Mountain Climber XT,Mountain Bike,2024-07-16,2
Roadmaster Pro,Road Bike,2023-10-27,2
BMX Freestyle Pro,BMX,2024-03-18,3
Hybrid Explorer,Hybrid Bike,2023-12-03,19
UrbanCommuter 500,Hybrid Bike,2023-02-11,3
AirMaster 300,BMX,2021-08-14,6
Roadmaster Pro,Road Bike,2023-10-13,3
UrbanCommuter 500,Hybrid Bike,2021-02-26,3
Hybrid Explorer,Hybrid Bike,2023-10-15,2
TrailBlazer XT,Mountain Bike,2024-02-19,2
Roadmaster Pro,Road Bike,2023-07-21,1
BMX Freestyle Pro,BMX,2022-11-16,2
BMX Freestyle Pro,BMX,2023-12-27,11
AirMaster 300,BMX,2021-06-26,6
Roadmaster Pro,Road Bike,2023-07-20,9
BMX Freestyle Pro,BMX,2021-09-17,3
Hybrid Explorer,Hybrid Bike,2023-01-04,3
AirMaster 300,BMX,2020-03-13,1
Mountain Climber XT,Mountain Bike,2022-03-11,4
Roadmaster Pro,Road Bike,2024-01-31,4
UrbanCommuter 500,Hybrid Bike,2022-10-06,3
UrbanCommuter 500,Hybrid Bike,2023-07-21,3
Roadmaster Pro,Road Bike,2024-09-07,3
AirMaster 300,BMX,2022-03-17,3
Hybrid Explorer,Hybrid Bike,2024-05-04,1
Mountain Climber XT,Mountain Bike,2020-10-22,2
Mountain Climber XT,Mountain Bike,2021-07-01,8
AirMaster 300,BMX,2021-08-24,6
BMX Freestyle Pro,BMX,2024-05-17,3
TrailBlazer XT,Mountain Bike,2022-12-03,15
 Speedster Pro,Road Bike,2020-03-20,3
Roadmaster Pro,Road Bike,2021-05-26,2
AirMaster 300,BMX,2020-04-24,2
BMX Freestyle Pro,BMX,2024-07-30,2
AirMaster 300,BMX,2024-01-16,3
TrailBlazer XT,Mountain Bike,2021-06-12,11
Roadmaster Pro,Road Bike,2023-05-02,4
Roadmaster Pro,Road Bike,2023-09-10,1
BMX Freestyle Pro,BMX,2024-05-15,3
BMX Freestyle Pro,BMX,2020-02-20,2
AirMaster 300,BMX,2022-12-20,9
UrbanCommuter 500,Hybrid Bike,2020-01-27,1
UrbanCommuter 500,Hybrid Bike,2023-05-08,3
Mountain Climber XT,Mountain Bike,2021-07-02,7
AirMaster 300,BMX,2023-05-03,3
Mountain Climber XT,Mountain Bike,2023-01-10,2
UrbanCommuter 500,Hybrid Bike,2023-07-05,8
 Speedster Pro,Road Bike,2021-01-10,5
UrbanCommuter 500,Hybrid Bike,2023-01-26,3
UrbanCommuter 500,Hybrid Bike,2022-10-08,1
BMX Freestyle Pro,BMX,2020-11-02,1
AirMaster 300,BMX,2022-08-14,8
 Speedster Pro,Road Bike,2021-11-07,4
AirMaster 300,BMX,2020-03-05,2
BMX Freestyle Pro,BMX,2022-04-15,3
AirMaster 300,BMX,2020-03-27,2
BMX Freestyle Pro,BMX,2020-11-21,15
TrailBlazer XT,Mountain Bike,2024-04-22,3
BMX Freestyle Pro,BMX,2022-02-27,1
 Speedster Pro,Road Bike,2022-04-17,2
Hybrid Explorer,Hybrid Bike,2024-01-17,5
TrailBlazer XT,Mountain Bike,2023-06-18,7
Mountain Climber XT,Mountain Bike,2020-05-10,4
AirMaster 300,BMX,2020-04-08,4
TrailBlazer XT,Mountain Bike,2021-08-31,7
Hybrid Explorer,Hybrid Bike,2020-05-06,2
UrbanCommuter 500,Hybrid Bike,2021-09-27,1
 Speedster Pro,Road Bike,2022-05-20,3
Hybrid Explorer,Hybrid Bike,2024-04-11,3
TrailBlazer XT,Mountain Bike,2020-02-24,3
Roadmaster Pro,Road Bike,2024-05-12,3
UrbanCommuter 500,Hybrid Bike,2020-08-22,7
 Speedster Pro,Road Bike,2021-07-03,8
UrbanCommuter 500,Hybrid Bike,2021-02-26,4
TrailBlazer XT,Mountain Bike,2022-11-23,12
UrbanCommuter 500,Hybrid Bike,2020-08-24,8
AirMaster 300,BMX,2023-07-19,4
AirMaster 300,BMX,2022-10-11,3
BMX Freestyle Pro,BMX,2020-04-25,3
AirMaster 300,BMX,2021-08-20,9
TrailBlazer XT,Mountain Bike,2023-11-29,17
AirMaster 300,BMX,2022-07-20,9
 Speedster Pro,Road Bike,2023-06-27,9
Roadmaster Pro,Road Bike,2022-06-03,8
 Speedster Pro,Road Bike,2023-02-06,2
TrailBlazer XT,Mountain Bike,2020-09-12,1
AirMaster 300,BMX,2021-03-24,4
Roadmaster Pro,Road Bike,2021-04-14,3
TrailBlazer XT,Mountain Bike,2024-05-16,2
Hybrid Explorer,Hybrid Bike,2021-03-22,2
AirMaster 300,BMX,2022-02-02,3
Mountain Climber XT,Mountain Bike,2020-12-01,17
AirMaster 300,BMX,2021-04-26,3
Mountain Climber XT,Mountain Bike,2024-02-04,2
AirMaster 300,BMX,2021-05-16,3
Hybrid Explorer,Hybrid Bike,2021-05-17,4
Mountain Climber XT,Mountain Bike,2020-10-05,2
UrbanCommuter 500,Hybrid Bike,2022-03-01,4
BMX Freestyle Pro,BMX,2023-02-15,2
UrbanCommuter 500,Hybrid Bike,2021-12-15,3
UrbanCommuter 500,Hybrid Bike,2021-11-06,3
AirMaster 300,BMX,2021-04-18,1
AirMaster 300,BMX,2021-07-05,6
UrbanCommuter 500,Hybrid Bike,2020-11-06,1
Mountain Climber XT,Mountain Bike,2021-04-07,3
TrailBlazer XT,Mountain Bike,2023-09-09,2
TrailBlazer XT,Mountain Bike,2021-11-06,2
UrbanCommuter 500,Hybrid Bike,2023-11-20,19
 Speedster Pro,Road Bike,2022-07-22,5
TrailBlazer XT,Mountain Bike,2024-07-24,1
UrbanCommuter 500,Hybrid Bike,2020-09-01,2
UrbanCommuter 500,Hybrid Bike,2024-04-17,3
Mountain Climber XT,Mountain Bike,2021-11-01,4
Roadmaster Pro,Road Bike,2024-02-25,4
Hybrid Explorer,Hybrid Bike,2023-01-06,2
UrbanCommuter 500,Hybrid Bike,2021-12-13,1
AirMaster 300,BMX,2023-10-23,1
Hybrid Explorer,Hybrid Bike,2021-11-28,19
BMX Freestyle Pro,BMX,2024-01-10,4
Hybrid Explorer,Hybrid Bike,2023-06-16,10
 Speedster Pro,Road Bike,2022-03-28,3
Mountain Climber XT,Mountain Bike,2021-06-02,7
Roadmaster Pro,Road Bike,2020-05-03,2
Hybrid Explorer,Hybrid Bike,2023-12-31,10
UrbanCommuter 500,Hybrid Bike,2023-05-08,1
TrailBlazer XT,Mountain Bike,2023-08-08,7
Mountain Climber XT,Mountain Bike,2022-04-29,3
Hybrid Explorer,Hybrid Bike,2020-11-07,3
Hybrid Explorer,Hybrid Bike,2021-04-20,2
 Speedster Pro,Road Bike,2023-04-13,4
UrbanCommuter 500,Hybrid Bike,2022-08-31,6
Hybrid Explorer,Hybrid Bike,2022-05-18,1
 Speedster Pro,Road Bike,2021-08-05,5
AirMaster 300,BMX,2023-12-01,20
BMX Freestyle Pro,BMX,2023-11-17,1
TrailBlazer XT,Mountain Bike,2021-04-06,1
UrbanCommuter 500,Hybrid Bike,2023-06-23,9
BMX Freestyle Pro,BMX,2023-05-24,3
UrbanCommuter 500,Hybrid Bike,2024-06-11,2
Mountain Climber XT,Mountain Bike,2023-08-25,7
BMX Freestyle Pro,BMX,2022-04-02,3
BMX Freestyle Pro,BMX,2023-08-13,5
Mountain Climber XT,Mountain Bike,2023-03-31,2
Roadmaster Pro,Road Bike,2021-06-12,10
Mountain Climber XT,Mountain Bike,2021-07-09,11
 Speedster Pro,Road Bike,2020-11-17,2
Mountain Climber XT,Mountain Bike,2020-03-29,2
Hybrid Explorer,Hybrid Bike,2022-01-23,3
Mountain Climber XT,Mountain Bike,2023-08-28,14
Roadmaster Pro,Road Bike,2020-12-24,11
TrailBlazer XT,Mountain Bike,2023-10-31,1
AirMaster 300,BMX,2022-05-14,1
UrbanCommuter 500,Hybrid Bike,2024-06-22,3
TrailBlazer XT,Mountain Bike,2023-04-07,1
BMX Freestyle Pro,BMX,2023-03-23,2
AirMaster 300,BMX,2020-01-16,1
BMX Freestyle Pro,BMX,2024-02-16,2
BMX Freestyle Pro,BMX,2023-03-15,2
UrbanCommuter 500,Hybrid Bike,2021-12-19,10
TrailBlazer XT,Mountain Bike,2023-07-08,8
Mountain Climber XT,Mountain Bike,2024-02-01,5
TrailBlazer XT,Mountain Bike,2020-09-01,5
Hybrid Explorer,Hybrid Bike,2023-04-24,3
Hybrid Explorer,Hybrid Bike,2021-07-18,8
BMX Freestyle Pro,BMX,2024-01-03,2
Mountain Climber XT,Mountain Bike,2024-09-08,3
BMX Freestyle Pro,BMX,2023-04-22,2
AirMaster 300,BMX,2020-03-21,4
 Speedster Pro,Road Bike,2023-03-24,3
Hybrid Explorer,Hybrid Bike,2023-04-08,3
Roadmaster Pro,Road Bike,2022-03-14,2
TrailBlazer XT,Mountain Bike,2024-01-12,3
 Speedster Pro,Road Bike,2022-09-20,1
Roadmaster Pro,Road Bike,2021-06-15,11
 Speedster Pro,Road Bike,2020-04-08,3
Hybrid Explorer,Hybrid Bike,2022-02-04,3
Roadmaster Pro,Road Bike,2021-04-20,2
Hybrid Explorer,Hybrid Bike,2022-08-22,5
BMX Freestyle Pro,BMX,2023-02-25,2
Roadmaster Pro,Road Bike,2022-02-25,3
Hybrid Explorer,Hybrid Bike,2023-10-04,1
Roadmaster Pro,Road Bike,2021-08-03,5
TrailBlazer XT,Mountain Bike,2020-11-17,3
Mountain Climber XT,Mountain Bike,2020-01-01,12
Mountain Climber XT,Mountain Bike,2021-05-15,3
UrbanCommuter 500,Hybrid Bike,2023-09-01,2
Roadmaster Pro,Road Bike,2022-05-17,4
 Speedster Pro,Road Bike,2024-05-02,2
 Speedster Pro,Road Bike,2021-11-08,3
Roadmaster Pro,Road Bike,2024-01-21,4
 Speedster Pro,Road Bike,2022-06-17,5
 Speedster Pro,Road Bike,2022-09-15,1
TrailBlazer XT,Mountain Bike,2020-01-22,3
BMX Freestyle Pro,BMX,2024-03-07,1
 Speedster Pro,Road Bike,2020-08-12,4
UrbanCommuter 500,Hybrid Bike,2020-05-09,2
Hybrid Explorer,Hybrid Bike,2024-07-05,3
 Speedster Pro,Road Bike,2021-05-07,3
 Speedster Pro,Road Bike,2024-06-05,2
AirMaster 300,BMX,2021-07-31,7
BMX Freestyle Pro,BMX,2021-11-04,3
Hybrid Explorer,Hybrid Bike,2022-10-11,3
TrailBlazer XT,Mountain Bike,2022-04-18,3
Mountain Climber XT,Mountain Bike,2020-03-07,2
Roadmaster Pro,Road Bike,2020-07-28,6
AirMaster 300,BMX,2024-05-01,4
Roadmaster Pro,Road Bike,2020-03-29,2
Roadmaster Pro,Road Bike,2024-05-17,4
TrailBlazer XT,Mountain Bike,2021-09-24,3
UrbanCommuter 500,Hybrid Bike,2020-11-09,4
UrbanCommuter 500,Hybrid Bike,2023-09-14,3
Roadmaster Pro,Road Bike,2021-11-03,2
BMX Freestyle Pro,BMX,2021-10-01,3
Hybrid Explorer,Hybrid Bike,2022-10-22,4
Mountain Climber XT,Mountain Bike,2023-11-03,4
AirMaster 300,BMX,2021-08-18,5
Roadmaster Pro,Road Bike,2022-07-04,9
BMX Freestyle Pro,BMX,2020-08-10,12
BMX Freestyle Pro,BMX,2021-03-04,3
BMX Freestyle Pro,BMX,2022-09-03,2
BMX Freestyle Pro,BMX,2023-11-17,1
AirMaster 300,BMX,2021-06-09,5
Mountain Climber XT,Mountain Bike,2021-04-18,4
Hybrid Explorer,Hybrid Bike,2021-03-15,3
BMX Freestyle Pro,BMX,2023-06-08,6
Roadmaster Pro,Road Bike,2021-08-28,8
TrailBlazer XT,Mountain Bike,2022-06-08,9
Mountain Climber XT,Mountain Bike,2024-03-21,3
TrailBlazer XT,Mountain Bike,2024-03-26,4
Mountain Climber XT,Mountain Bike,2024-01-25,2
AirMaster 300,BMX,2021-12-27,13
 Speedster Pro,Road Bike,2022-07-29,9
Hybrid Explorer,Hybrid Bike,2022-11-03,1
TrailBlazer XT,Mountain Bike,2021-12-21,14
Hybrid Explorer,Hybrid Bike,2023-01-04,2
UrbanCommuter 500,Hybrid Bike,2021-06-09,4
TrailBlazer XT,Mountain Bike,2022-05-27,2
Mountain Climber XT,Mountain Bike,2024-06-22,3
BMX Freestyle Pro,BMX,2022-05-16,4
Hybrid Explorer,Hybrid Bike,2020-12-19,7
Mountain Climber XT,Mountain Bike,2023-11-21,18
AirMaster 300,BMX,2022-01-08,3
Mountain Climber XT,Mountain Bike,2021-12-16,3
Roadmaster Pro,Road Bike,2023-02-18,1
Hybrid Explorer,Hybrid Bike,2022-02-24,3
Mountain Climber XT,Mountain Bike,2021-12-20,13
Hybrid Explorer,Hybrid Bike,2024-09-06,3
UrbanCommuter 500,Hybrid Bike,2020-04-17,1
Mountain Climber XT,Mountain Bike,2022-09-03,3
Mountain Climber XT,Mountain Bike,2023-11-19,19
Hybrid Explorer,Hybrid Bike,2022-03-20,3
BMX Freestyle Pro,BMX,2024-09-13,3
AirMaster 300,BMX,2021-04-12,3
BMX Freestyle Pro,BMX,2020-07-17,7
Roadmaster Pro,Road Bike,2020-12-14,3
Mountain Climber XT,Mountain Bike,2024-07-30,4
BMX Freestyle Pro,BMX,2023-03-31,2
 Speedster Pro,Road Bike,2022-07-08,8
UrbanCommuter 500,Hybrid Bike,2020-12-28,14
Hybrid Explorer,Hybrid Bike,2022-03-08,2
 Speedster Pro,Road Bike,2023-07-27,5
Hybrid Explorer,Hybrid Bike,2020-04-20,2
 Speedster Pro,Road Bike,2020-03-03,1
TrailBlazer XT,Mountain Bike,2020-02-12,1
Mountain Climber XT,Mountain Bike,2021-04-22,2
AirMaster 300,BMX,2020-07-25,10
BMX Freestyle Pro,BMX,2020-04-22,3
BMX Freestyle Pro,BMX,2023-09-30,3
UrbanCommuter 500,Hybrid Bike,2020-12-25,19
AirMaster 300,BMX,2022-10-26,4
Roadmaster Pro,Road Bike,2023-09-29,3
Mountain Climber XT,Mountain Bike,2022-03-30,4
TrailBlazer XT,Mountain Bike,2024-04-16,2
TrailBlazer XT,Mountain Bike,2022-02-26,3
BMX Freestyle Pro,BMX,2023-02-22,3
Mountain Climber XT,Mountain Bike,2022-01-04,3
AirMaster 300,BMX,2020-06-12,6
AirMaster 300,BMX,2020-03-28,3
AirMaster 300,BMX,2023-11-06,3
Roadmaster Pro,Road Bike,2024-01-30,4
AirMaster 300,BMX,2024-01-10,2
Roadmaster Pro,Road Bike,2021-02-22,2
TrailBlazer XT,Mountain Bike,2020-02-22,2
Roadmaster Pro,Road Bike,2022-03-05,2
Roadmaster Pro,Road Bike,2023-05-19,1
Mountain Climber XT,Mountain Bike,2020-02-22,3
BMX Freestyle Pro,BMX,2022-02-16,3
TrailBlazer XT,Mountain Bike,2022-10-09,2
Mountain Climber XT,Mountain Bike,2021-05-21,3
Roadmaster Pro,Road Bike,2020-12-08,1
Roadmaster Pro,Road Bike,2023-04-03,2
AirMaster 300,BMX,2021-04-11,3
TrailBlazer XT,Mountain Bike,2020-08-19,6
Roadmaster Pro,Road Bike,2024-08-04,1
Mountain Climber XT,Mountain Bike,2022-12-05,4
 Speedster Pro,Road Bike,2023-07-28,7
BMX Freestyle Pro,BMX,2022-10-03,2
 Speedster Pro,Road Bike,2024-01-15,4
AirMaster 300,BMX,2023-09-19,2
TrailBlazer XT,Mountain Bike,2024-03-12,2
BMX Freestyle Pro,BMX,2020-05-11,4
Hybrid Explorer,Hybrid Bike,2024-01-13,2
Roadmaster Pro,Road Bike,2024-01-31,2
Mountain Climber XT,Mountain Bike,2021-06-17,9
TrailBlazer XT,Mountain Bike,2020-06-08,9
TrailBlazer XT,Mountain Bike,2023-07-11,2
BMX Freestyle Pro,BMX,2021-09-25,2
Roadmaster Pro,Road Bike,2023-01-18,1
Roadmaster Pro,Road Bike,2023-03-19,4
Hybrid Explorer,Hybrid Bike,2020-08-20,6
TrailBlazer XT,Mountain Bike,2024-03-23,2
 Speedster Pro,Road Bike,2023-03-04,2
TrailBlazer XT,Mountain Bike,2022-07-02,5
 Speedster Pro,Road Bike,2022-10-03,1
Hybrid Explorer,Hybrid Bike,2022-04-04,3
 Speedster Pro,Road Bike,2023-07-21,3
Hybrid Explorer,Hybrid Bike,2022-02-06,2
TrailBlazer XT,Mountain Bike,2021-10-16,3
TrailBlazer XT,Mountain Bike,2023-08-10,10
UrbanCommuter 500,Hybrid Bike,2024-09-10,1
 Speedster Pro,Road Bike,2023-09-29,4
UrbanCommuter 500,Hybrid Bike,2021-05-16,2
Roadmaster Pro,Road Bike,2020-09-15,3
TrailBlazer XT,Mountain Bike,2020-08-04,6
UrbanCommuter 500,Hybrid Bike,2021-08-24,9
AirMaster 300,BMX,2021-05-20,3
AirMaster 300,BMX,2021-06-03,5
UrbanCommuter 500,Hybrid Bike,2020-05-11,2
AirMaster 300,BMX,2024-01-31,3
TrailBlazer XT,Mountain Bike,2021-06-09,6
BMX Freestyle Pro,BMX,2020-12-23,11
UrbanCommuter 500,Hybrid Bike,2020-09-17,1
 Speedster Pro,Road Bike,2021-08-08,7
Hybrid Explorer,Hybrid Bike,2022-03-18,2
Roadmaster Pro,Road Bike,2024-09-25,3
BMX Freestyle Pro,BMX,2020-04-20,1
UrbanCommuter 500,Hybrid Bike,2023-12-08,1
TrailBlazer XT,Mountain Bike,2021-01-09,3
AirMaster 300,BMX,2020-06-03,8
Roadmaster Pro,Road Bike,2020-09-29,4
Roadmaster Pro,Road Bike,2024-01-07,4
Hybrid Explorer,Hybrid Bike,2021-07-18,7
BMX Freestyle Pro,BMX,2020-02-07,2
TrailBlazer XT,Mountain Bike,2023-04-08,3
Hybrid Explorer,Hybrid Bike,2020-10-28,2
Roadmaster Pro,Road Bike,2023-12-20,11
Hybrid Explorer,Hybrid Bike,2020-01-18,3
Roadmaster Pro,Road Bike,2024-08-13,2
AirMaster 300,BMX,2020-02-03,2
Mountain Climber XT,Mountain Bike,2023-04-28,4
AirMaster 300,BMX,2020-08-17,6
AirMaster 300,BMX,2024-03-08,3
AirMaster 300,BMX,2020-11-12,2
Hybrid Explorer,Hybrid Bike,2021-10-02,4
Roadmaster Pro,Road Bike,2023-06-27,6
 Speedster Pro,Road Bike,2022-03-21,3
Hybrid Explorer,Hybrid Bike,2021-04-11,2
 Speedster Pro,Road Bike,2023-10-03,1
UrbanCommuter 500,Hybrid Bike,2024-09-28,4
UrbanCommuter 500,Hybrid Bike,2021-04-09,3
BMX Freestyle Pro,BMX,2022-06-21,7
Mountain Climber XT,Mountain Bike,2022-06-22,3
AirMaster 300,BMX,2021-04-25,1
BMX Freestyle Pro,BMX,2021-10-23,2
AirMaster 300,BMX,2024-03-10,2
AirMaster 300,BMX,2024-01-06,3
Hybrid Explorer,Hybrid Bike,2024-04-10,3
Mountain Climber XT,Mountain Bike,2024-02-29,4
 Speedster Pro,Road Bike,2021-02-22,1
 Speedster Pro,Road Bike,2021-02-25,3
 Speedster Pro,Road Bike,2024-02-23,3
UrbanCommuter 500,Hybrid Bike,2022-06-19,7
